S 50-43-44-14-01-003-2040-001    204A 496000 0 496000 RES 
S 50-43-44-23-11-000-1120-001    112 496000 0 496000 RES 
S 50-43-44-23-11-000-4010-001    401 521000 25000 496000 RES 
S 50-43-44-23-11-000-5120-001    512 496000 0 496000 RES 
S 50-43-44-35-19-002-0057-001    5G-II 496000 0 496000 RES 
N 50-43-42-34-08-000-0130-001     521185 25000 496185 RES 
C 50-43-43-26-07-000-2010-001    201 521963 25000 496963 RES 
M 50-43-43-15-27-000-0103-001    103C 521963 25000 496963 RES 
M 50-43-43-22-29-000-0050-001    5 522000 25000 497000 RES 
S 50-43-44-15-24-000-0080-001    8 497000 0 497000 RES 
S 50-43-44-35-18-001-5010-001    501N 522000 25000 497000 RES 
M 50-43-43-14-21-000-3160-001    R-316 522425 25000 497425 RES 
M 50-43-43-14-21-000-3220-001    R-322 522425 25000 497425 RES 
S 50-43-44-23-06-002-2030-001    203 498000 0 498000 RES 
S 50-43-44-23-07-002-0011-001    1A-2 523050 25000 498050 RES 
N 50-43-42-34-08-000-0100-001     523724 25000 498724 RES 
M 50-43-43-14-21-000-2180-001    R-218 499000 0 499000 RES 
M 50-43-43-14-21-004-5150-001    R-515 524000 25000 499000 RES 
M 50-43-43-14-23-000-4110-001    411 499000 0 499000 RES 
S 50-43-44-26-05-002-4020-001    402S 524000 25000 499000 RES 
M 50-43-43-23-05-028-0410-001     524920 25500 499420 RES 
N 50-43-42-34-07-000-0120-001     524459 25000 499459 RES 
S 50-43-44-35-05-001-4030-001    403 500000 0 500000 RES Count Taxable Value Median 
   2114 776884911 367000 
   
   
S 50-43-44-35-13-001-0025-001    2E-I 525764 25000 500764 RES 
S 50-43-44-35-18-001-4050-001    405N 501000 0 501000 RES 
S 50-43-44-35-18-002-4050-001    405S 501000 0 501000 RES 
S 50-43-44-35-19-001-0032-001    3-B I 501000 0 501000 RES 
N 50-43-43-02-01-000-0330-001     527307 25500 501807 RES 
S 50-43-44-23-05-001-2020-001    202N 502000 0 502000 RES 
S 50-43-44-23-05-003-2020-001    202E 502000 0 502000 RES 
S 50-43-44-26-03-001-4010-001    401N 502000 0 502000 RES 
S 50-43-44-35-02-000-2080-001    208 502000 0 502000 RES 
