S 50-43-44-15-01-000-0270-001     923564 0 923564 RES 
M 50-43-43-23-05-003-0013-001     923880 0 923880 RES 
C 50-43-43-27-71-002-0010-001    R-1N 924000 0 924000 RES 
S 50-43-44-14-02-002-4070-001    407S 924000 0 924000 RES 
N 50-43-43-02-01-000-0100-001     949101 25000 924101 RES 
M 50-43-43-22-07-000-4410-001     950408 25000 925408 RES 
C 50-43-43-26-00-002-0330-001     951134 25500 925634 RES 
C 50-43-43-27-63-000-6040-001    PH-D 926000 0 926000 RES 
M 50-43-43-22-07-000-3810-001     927214 0 927214 RES 
M 50-43-43-22-07-000-5170-001     952277 25000 927277 RES 
C 50-43-43-35-02-000-0161-001     927483 0 927483 RES 
C 50-43-43-26-06-009-2110-001    211 952582 25000 927582 RES 
C 50-43-43-27-54-000-0041-001    4A 952952 25000 927952 RES 
N 50-43-43-14-06-000-0220-001     952952 25000 927952 RES 
N 50-43-43-10-10-000-0070-001     953535 25500 928035 RES 
S 50-43-44-23-06-001-5020-001    502N 929000 0 929000 RES 
S 50-43-44-23-06-002-5010-001    501S&508S 929000 0 929000 RES 
S 50-43-44-23-06-002-5080-001    508S 929000 0 929000 RES 
M 50-43-43-23-10-000-0012-001    1B 954757 25000 929757 RES 
S 50-43-44-23-08-003-5020-001    502W 930000 0 930000 RES 
N 50-43-43-03-08-000-0030-001     955004 25000 930004 RES 
N 50-43-43-03-18-000-0101-001     955621 25000 930621 RES 
S 50-43-44-23-09-001-0024-001    R1B4 931000 0 931000 RES 
M 50-43-43-15-27-000-0409-001    0409 958058 25000 933058 RES 
S 50-43-44-23-09-002-0011-001    R2A1 934000 0 934000 RES 
N 50-43-43-03-18-000-0091-001     959112 25000 934112 RES 
M 50-43-43-15-27-000-0112-001    112-D 935000 0 935000 RES 
C 50-43-43-35-00-002-0200-001     960090 25000 935090 RES 
S 50-43-44-26-05-001-1030-001    103N 936000 0 936000 RES 
S 50-43-44-26-05-002-1050-001    105S 936000 0 936000 RES 
N 50-43-43-14-00-002-0060-001     936235 0 936235 RES 
N 50-43-43-14-02-000-0040-001     961735 25000 936735 RES 
M 50-43-43-15-27-000-0303-001    0303 937000 0 937000 RES 
S 50-43-44-26-07-001-4030-001    403-1 937000 0 937000 RES 
N 50-43-43-10-03-000-0262-001     962118 25000 937118 RES 
M 50-43-43-22-17-000-0090-001    1-C 939000 0 939000 RES 
S 50-43-44-26-08-002-4060-001    S-406 941000 0 941000 RES 
M 50-43-43-15-33-001-2030-001    203 966535 25000 941535 RES 
C 50-43-43-27-43-000-0080-001    8 967000 25000 942000 RES 
M 50-43-43-23-26-000-6040-001    PH-D 943000 0 943000 RES 
S 50-43-44-14-02-002-5070-001    507S 944000 0 944000 RES 
S 50-43-44-23-09-002-0012-001    2A2 944000 0 944000 RES 
M 50-43-43-22-07-000-3960-001     970720 25000 945720 RES 
N 50-43-43-03-13-000-0201-001     971520 25000 946520 RES 
N 50-43-43-10-06-000-0061-001     971614 25000 946614 RES 
M 50-43-43-22-18-001-4200-001    B420 947380 0 947380 RES 
