doc_id,volume,image_path,flag
DOJ-OGR-00000099,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000099.tif,
DOJ-OGR-00000100,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000100.tif,
DOJ-OGR-00000101,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000101.tif,
DOJ-OGR-00000102,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000102.tif,
DOJ-OGR-00000103,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000103.tif,
DOJ-OGR-00000104,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000104.tif,
DOJ-OGR-00000105,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000105.tif,
DOJ-OGR-00000106,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000106.tif,
DOJ-OGR-00000107,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000107.tif,
DOJ-OGR-00000108,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000108.tif,
DOJ-OGR-00000109,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000109.tif,
DOJ-OGR-00000110,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000110.tif,
DOJ-OGR-00000111,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000111.tif,
DOJ-OGR-00000112,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000112.tif,
DOJ-OGR-00000113,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000113.tif,
DOJ-OGR-00000114,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000114.tif,
DOJ-OGR-00000115,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000115.tif,
DOJ-OGR-00000116,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000116.tif,
DOJ-OGR-00000117,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000117.tif,
DOJ-OGR-00000118,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000118.tif,
DOJ-OGR-00000119,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000119.tif,
DOJ-OGR-00000120,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000120.tif,
DOJ-OGR-00000121,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000121.tif,
DOJ-OGR-00000122,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000122.tif,
DOJ-OGR-00000123,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000123.tif,
DOJ-OGR-00000124,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000124.tif,
DOJ-OGR-00000125,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000125.tif,
DOJ-OGR-00000126,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000126.tif,
DOJ-OGR-00000127,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000127.tif,
DOJ-OGR-00000128,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000128.tif,
DOJ-OGR-00000129,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000129.tif,
DOJ-OGR-00000130,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000130.tif,
DOJ-OGR-00000131,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000131.tif,
DOJ-OGR-00000132,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000132.tif,
DOJ-OGR-00000133,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000133.tif,
DOJ-OGR-00000134,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000134.tif,
DOJ-OGR-00000135,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000135.tif,
DOJ-OGR-00000136,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000136.tif,
DOJ-OGR-00000137,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000137.tif,
DOJ-OGR-00000138,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000138.tif,
DOJ-OGR-00000139,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000139.tif,
DOJ-OGR-00000140,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000140.tif,
DOJ-OGR-00000141,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000141.tif,
DOJ-OGR-00000142,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000142.tif,
DOJ-OGR-00000143,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000143.tif,
